home_team,away_team,home_times,away_times,home_win,away_win,home_goals,away_goals,home_r_win,away_r_win,home_Ave_goal,away_Ave_goal,result
巴西,乌拉圭,109,56,73,24,229,87,0.6697247706422018,0.42857142857142855,2.1009174311926606,1.5535714285714286,0
西班牙,瑞典,63,51,30,19,99,80,0.4761904761904762,0.3725490196078432,1.5714285714285714,1.568627450980392,0
奥地利,苏格兰,29,23,12,4,43,25,0.4137931034482759,0.17391304347826084,1.4827586206896552,1.0869565217391304,1
巴西,墨西哥,109,57,73,16,229,60,0.6697247706422018,0.2807017543859649,2.1009174311926606,1.0526315789473684,1
捷克斯洛伐克,乌拉圭,30,56,11,24,44,87,0.36666666666666653,0.42857142857142855,1.4666666666666666,1.5535714285714286,0
法国,南斯拉夫,66,33,34,14,120,55,0.5151515151515151,0.42424242424242425,1.818181818181818,1.6666666666666667,0
比利时,英格兰,48,69,20,29,68,91,0.4166666666666667,0.42028985507246375,1.4166666666666667,1.318840579710145,-1
德国,土耳其,109,10,67,5,226,20,0.6146788990825688,0.5,2.073394495412844,2.0,1
匈牙利,朝鲜,32,12,15,1,87,11,0.46875,0.08333333333333333,2.71875,0.9166666666666666,1
瑞士,意大利,37,83,12,45,50,128,0.32432432432432434,0.5421686746987951,1.351351351351351,1.5421686746987953,1
奥地利,捷克斯洛伐克,29,30,12,11,43,44,0.4137931034482759,0.36666666666666653,1.4827586206896552,1.4666666666666666,1
巴西,南斯拉夫,109,33,73,14,229,55,0.6697247706422018,0.42424242424242425,2.1009174311926606,1.6666666666666667,-1
